mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.9537850856781006,0.2986432353466909,0.004807949066162109,0.0012456977692019977,identity,"(50,)","{'activation': 'identity', 'hidden_layer_sizes': (50,)}",-15.880338825598622,-5.117270085714596,-7.3779198351002675,-8.078878877251354,-7.217487618191359,-8.75272635232028,-10.719569173262332,-10.450430226831894,-25.314838650491133,-17.159712336458018,-11.606917198121984,5.8222685921022554,3
1.6632412672042847,0.30152634403531026,0.005219817161560059,0.00046223347222365183,identity,"(100,)","{'activation': 'identity', 'hidden_layer_sizes': (100,)}",-16.5065893388063,-4.922604068051374,-7.232230479496147,-8.213575318055469,-7.326431278676523,-8.020371896659652,-10.546132655840594,-10.598490583877098,-25.461881741846685,-17.23283510325896,-11.60611424645688,5.968907148143081,2
1.3534612894058227,0.5063050161693855,0.0062151670455932615,0.0015908047433313898,identity,"(50, 50)","{'activation': 'identity', 'hidden_layer_sizes': (50, 50)}",-15.330733556364404,-5.374901502961675,-5.644093554539863,-8.997743476818618,-7.212556328462278,-8.062621183611808,-8.638953204211731,-12.337069054178727,-26.315692137478138,-16.473972591714613,-11.438833659034186,6.13217761125824,1
1.4643693447113038,0.2204518704275549,0.006314897537231445,0.0013502986470068006,identity,"(100, 100)","{'activation': 'identity', 'hidden_layer_sizes': (100, 100)}",-21.912718976888694,-5.124890981367179,-7.887222251515698,-7.827422768640157,-7.593629360371133,-9.765888539415696,-8.985559218814544,-10.612623876231147,-30.170342730846738,-12.132723025466618,-12.20130217295576,7.382731403529983,13
1.932328462600708,0.04217761396547046,0.005518579483032226,0.0018482896128422695,logistic,"(50,)","{'activation': 'logistic', 'hidden_layer_sizes': (50,)}",-21.112733644198613,-7.0891925787093495,-6.151343406575105,-7.406634998683201,-10.086282239061985,-9.083272501859534,-8.874849062055853,-10.359565986812543,-29.737497560582142,-18.52638718066441,-12.842775915920274,7.329398160727705,16
4.6432538509368895,0.10572798299511169,0.005821347236633301,0.0007147486180392268,logistic,"(100,)","{'activation': 'logistic', 'hidden_layer_sizes': (100,)}",-17.56663548119034,-4.893657114220444,-6.652941641098113,-7.636045884404644,-8.5084597200825,-8.24091569156474,-9.347037472782633,-10.426714164225627,-26.46468488846829,-16.432521359279576,-11.616961341731692,6.263903285086642,4
4.762479329109192,0.1796016795201534,0.006320381164550781,0.0014834554475899597,logistic,"(50, 50)","{'activation': 'logistic', 'hidden_layer_sizes': (50, 50)}",-20.609488819011524,-5.733348119604856,-6.469125953587478,-7.400827476412816,-8.993381654153575,-8.574869580831937,-8.937696324420854,-10.491217150511188,-30.444687768925373,-19.518113965918474,-12.717275681337807,7.675586501078003,15
9.464886260032653,0.21455335072717857,0.00814042091369629,0.0020070326476823567,logistic,"(100, 100)","{'activation': 'logistic', 'hidden_layer_sizes': (100, 100)}",-17.90297976440268,-5.007076931210945,-6.755031672169445,-7.563362041508727,-8.229030503468712,-8.016774505425381,-9.69627272006296,-10.893939233134045,-26.814199481533667,-15.540012758070032,-11.64186796109866,6.310832190745056,6
1.4923872470855712,0.013729078529366818,0.005209803581237793,0.0017089777035574996,tanh,"(50,)","{'activation': 'tanh', 'hidden_layer_sizes': (50,)}",-17.554390285896947,-5.225527839549517,-6.516543074678303,-7.536117151311106,-8.730965960191375,-8.83565652338947,-9.16130443338342,-10.690693197787006,-27.30396908828343,-17.191751441648663,-11.874691899611921,6.466994171482408,10
3.3235185384750365,0.04485651819778401,0.005652141571044922,0.0011845653850240119,tanh,"(100,)","{'activation': 'tanh', 'hidden_layer_sizes': (100,)}",-16.557495029654707,-4.932885581549493,-6.5014367839048886,-8.621249909252235,-7.901834327802843,-8.910089078537878,-9.576207591807231,-10.490288826722484,-27.155884345019892,-16.44877956343794,-11.709615103768959,6.288964633499616,8
3.4323020219802856,0.07021234954002661,0.005216193199157715,0.0007473322762353017,tanh,"(50, 50)","{'activation': 'tanh', 'hidden_layer_sizes': (50, 50)}",-16.832751426791543,-5.178404074492564,-6.927860460356045,-8.520336284749224,-7.69425319209777,-8.13687297140461,-9.561378898104891,-11.046490036700293,-26.312570251127433,-18.184011012258622,-11.839492860808297,6.252020557566418,9
5.369217014312744,0.6903551485877931,0.006415319442749023,0.0010028569481139087,tanh,"(100, 100)","{'activation': 'tanh', 'hidden_layer_sizes': (100, 100)}",-15.969422401554965,-6.745243469906736,-6.980266450037952,-8.617652439335078,-7.889014302189904,-7.711696955798119,-10.28687178532008,-10.468611086552343,-24.527135630033882,-17.15976000631867,-11.635567452704773,5.502732290578353,5
1.3578281164169312,0.12497871010502021,0.005003929138183594,0.0015579002748167211,relu,"(50,)","{'activation': 'relu', 'hidden_layer_sizes': (50,)}",-16.45311728627703,-5.044130128028618,-7.953844331456118,-8.663154284071727,-7.269450604259536,-8.502248737472893,-10.859039103183896,-10.155119711472825,-24.968577228490894,-17.103235247631677,-11.69719166623452,5.730166727489451,7
2.093075656890869,0.4215663715737709,0.004998111724853515,0.00016196138212765023,relu,"(100,)","{'activation': 'relu', 'hidden_layer_sizes': (100,)}",-15.73785181873788,-5.044153201407873,-6.813240321435117,-10.453632375707219,-7.854542305114545,-7.9039959810092295,-11.254558544116906,-10.570843232781446,-25.76877716088292,-17.477837377122363,-11.887943231831551,5.8963520060577235,11
2.0029769420623778,0.6332910451957081,0.0056236028671264645,0.001284355368610314,relu,"(50, 50)","{'activation': 'relu', 'hidden_layer_sizes': (50, 50)}",-15.596876528568277,-5.048641509997849,-8.505579878113105,-8.623852175372011,-9.347964302317454,-8.124645134877419,-9.26843098701261,-10.700835679582998,-27.549320883874678,-17.32149300323507,-12.008764008295149,6.21424265113308,12
2.559900093078613,0.8105670817034468,0.007067251205444336,0.0012578411140747258,relu,"(100, 100)","{'activation': 'relu', 'hidden_layer_sizes': (100, 100)}",-17.23188036472288,-5.712983139210446,-7.864163975924192,-8.184704066385931,-7.567281357195736,-8.624118659674506,-10.3147518585434,-10.322692702989473,-25.805304972614937,-24.55154298324111,-12.61794240805026,6.925091441600006,14
